purchased_at,revenue
2018-06-03,32735.885901716552
2018-06-10,38290.06873383903
2018-06-17,39973.95202358654
2018-06-24,35621.93087124018
2018-07-01,28983.72139202834
2018-07-08,47251.192456813806
2018-07-15,31511.688671801952
2018-07-22,50985.60610666826
2018-07-29,41182.8467881272
2018-08-05,36597.61606348211
2018-08-12,39973.95202358654
2018-08-19,49744.88221414983
2018-08-26,56173.14186843132
2018-09-02,23049.425320017384
2018-09-09,44325.9731759329
2018-09-16,29467.279297844594
2018-09-23,51679.11383741487
2018-09-30,28126.783331088125
2018-10-07,44325.9731759329
2018-10-14,70327.92233931873
2018-10-21,42975.07153272216
2018-10-28,53755.35233935001
2018-11-04,57887.01799031174
2018-11-11,98616.05982957006
2018-11-18,95272.77719467331
2018-11-25,39352.67192940489
2018-12-02,38275.378367080055
2018-12-09,29329.55710947921
2018-12-16,42243.6136878482
2018-12-23,35370.970439107696
2018-12-30,202924.39690305738
2019-01-06,109821.74917359323
2019-01-13,139302.62202495034
2019-01-20,46827.620215263356
2019-01-27,53855.736512203
2019-02-03,40022.91991278313
2019-02-10,65066.689904314815
2019-02-17,39128.64383633052
2019-02-24,84212.15522239501
2019-03-03,74825.01086340997
2019-03-10,85838.25640289056
2019-03-17,50571.827442957125
2019-03-24,75410.7892379241
2019-03-31,56995.19030831897
2019-04-07,93301.81965451082
2019-04-14,70171.22509388966
2019-04-21,52474.229938244396
2019-04-28,103599.15465393738
2019-05-05,51693.80420417384
2019-05-12,95690.84054868916
2019-05-19,47987.54709060742
2019-05-26,192188.18719670648
2019-06-02,185327.78592026513
2019-06-09,302482.2366258612
2019-06-16,76784.95062850323
2019-06-23,171548.22190034657
2019-06-30,92061.70786060736
2019-07-07,115054.21297369416
2019-07-14,104557.08898634555
2019-07-21,122253.47204337586
2019-07-28,54171.57939752097
2019-08-04,101965.09619144739
2019-08-11,101017.93479466248
2019-08-18,151331.2167469221
2019-08-25,87855.36617862084
2019-09-01,106376.85816861357
2019-09-08,91191.54846958406
2019-09-15,99316.91274369616
2019-09-22,108046.05109160212
2019-09-29,137089.51827271073
2019-10-06,65676.21770508928
2019-10-13,93918.81505838779
2019-10-20,300191.76360869105
2019-10-27,466748.08142887533
2019-11-03,212297.7078333444
2019-11-10,147400.93154028128
2019-11-17,133930.47732091616
2019-11-24,276212.1882691241
2019-12-01,290035.8233893196
2019-12-08,78009.75995703277
2019-12-15,140186.73726439464
2019-12-22,186901.4914593203
2019-12-29,117567.85714587779
2020-01-05,149485.1273242109
2020-01-12,137804.44945498084
2020-01-19,139507.919900407
2020-01-26,195697.9606548716
2020-02-02,138660.7754173061
2020-02-09,86381.43271380366
2020-02-16,152297.1083613247
2020-02-23,197337.77284434217
