Dates;Value
2018-06-03;32735,8859017166
2018-06-10;38290,0687338390
2018-06-17;39973,9520235865
2018-06-24;35621,9308712402
2018-07-01;28983,7213920283
2018-07-08;47251,1924568138
2018-07-15;31511,6886718020
2018-07-22;50985,6061066683
2018-07-29;41182,8467881272
2018-08-05;36597,6160634821
2018-08-12;39973,9520235865
2018-08-19;49744,8822141498
2018-08-26;56173,1418684313
2018-09-02;23049,4253200174
2018-09-09;44325,9731759329
2018-09-16;29467,2792978446
2018-09-23;51679,1138374149
2018-09-30;28126,7833310881
2018-10-07;44325,9731759329
2018-10-14;70327,9223393187
2018-10-21;42975,0715327222
2018-10-28;53755,3523393500
2018-11-04;57887,0179903117
2018-11-11;98616,0598295701
2018-11-18;95272,7771946733
2018-11-25;39352,6719294049
2018-12-02;38275,3783670801
2018-12-09;29329,5571094792
2018-12-16;42243,6136878482
2018-12-23;35370,9704391077
2018-12-30;202924,3969030574
2019-01-06;109821,7491735932
2019-01-13;139302,6220249503
2019-01-20;46827,6202152634
2019-01-27;53855,7365122030
2019-02-03;40022,9199127831
2019-02-10;65066,6899043148
2019-02-17;39128,6438363305
2019-02-24;84212,1552223950
2019-03-03;74825,0108634100
2019-03-10;85838,2564028906
2019-03-17;50571,8274429571
2019-03-24;75410,7892379241
2019-03-31;56995,1903083190
2019-04-07;93301,8196545108
2019-04-14;70171,2250938897
2019-04-21;52474,2299382444
2019-04-28;103599,1546539374
2019-05-05;51693,8042041738
2019-05-12;95690,8405486892
2019-05-19;47987,5470906074
2019-05-26;192188,1871967065
2019-06-02;185327,7859202651
2019-06-09;302482,2366258612
2019-06-16;76784,9506285032
2019-06-23;171548,2219003466
2019-06-30;92061,7078606074
2019-07-07;115054,2129736942
2019-07-14;104557,0889863456
2019-07-21;122253,4720433759
2019-07-28;54171,5793975210
2019-08-04;101965,0961914474
2019-08-11;101017,9347946625
2019-08-18;151331,2167469221
2019-08-25;87855,3661786208
2019-09-01;106376,8581686136
2019-09-08;91191,5484695841
2019-09-15;99316,9127436962
2019-09-22;108046,0510916021
2019-09-29;137089,5182727107
2019-10-06;65676,2177050893
2019-10-13;93918,8150583878
2019-10-20;300191,7636086910
2019-10-27;466748,0814288753
2019-11-03;212297,7078333444
2019-11-10;147400,9315402813
2019-11-17;133930,4773209162
2019-11-24;276212,1882691241
2019-12-01;290035,8233893196
2019-12-08;78009,7599570328
2019-12-15;140186,7372643946
2019-12-22;186901,4914593203
2019-12-29;117567,8571458778
2020-01-05;149485,1273242109
2020-01-12;137804,4494549808
2020-01-19;139507,9199004070
2020-01-26;195697,9606548716
2020-02-02;138660,7754173061
2020-02-09;86381,4327138037
2020-02-16;152297,1083613247
2020-02-23;197337,7728443422
